MARN,Full_name,Experience_years,Education,Age,Work_experience,Charge,Visa type,Booking preference,Location,Success rate,Language,Employment Type,Google rating,Availability
1800328,Kumar Rahul,7,Bachelor ,25-32,> 5 years,201 – 500 AUD,117,Both,SA,>81%,Arabic,Independent,2.7,1 month
1799100,Ramandeep Kaur,8,Bachelor ,18-24,1 - 3 years,101– 200 AUD,893,Inperson,NT,>81%,Cambodian,Independent,2.7,4- 6 month
1799035,Jaspreet Kaur,8,Doctorate,25-32,3 -  5 years,101– 200 AUD,580,Inperson,NT,31%-50%,Chinese - Hokkien,Independent,3.2,1 month
2318090,Balwant Kaur,2,Year 12 and below,33-39,> 5 years,0 ~ 100 AUD,189,Online,VIC, 51 %- 80 %,Italian,Independent,4.2,Immediately
1570947,Nahida,10,Year 12 and below,25-32,1 - 3 years,201 – 500 AUD,19,Inperson,NT,>81%,Sinhalese,Organized,3.4,Immediately
1571524,Harpalyad,10,Doctorate,25-32,3 -  5 years,101– 200 AUD,190,Both,ACT,31%-50%,Chinese,Independent,3.8,Immediately
1572827,Agustinus,10,Doctorate,18-24,< 1 year,101– 200 AUD,100,Online,NSW, 51 %- 80 %,Cambodian,Organized,3.1,Immediately
1575086,Vikramjeet Singh,10,Diploma,33-39,< 1 year,201 – 500 AUD,157,Both,NT, 51 %- 80 %,Albanian,Organized,2.9,1 month
1679096,Harjeet Singh,9,Year 12 and below,18-24,> 5 years,500+ AUD,887,Inperson,NT,31%-50%,Chinese - Wu,Organized,4.9,1 month
1681141,Harmandeep,9,Doctorate,25-32,< 1 year,101– 200 AUD,421,Both,NSW, 51 %- 80 %,Chinese,Organized,2.7,4- 6 month
1789726,Nidhi,8,Doctorate,40-44,1 - 3 years,101– 200 AUD,820,Online,QLD,31%-50%,Burmese,Organized,3.2,4- 6 month
1792016,Parminder Singh,8,Bachelor ,25-32,1 - 3 years,0 ~ 100 AUD,676,Inperson,TAS,< 30%,Chinese - Hokkien,Organized,3.6,Immediately
2217728,Aamir Shabbir,3,Master,25-32,3 -  5 years,101– 200 AUD,010,Both,NSW,31%-50%,Kurdish,Organized,2.6,4- 6 month
104705,Aaron Wai Kwong Yeung,24,Bachelor ,18-24,< 1 year,500+ AUD,200,Inperson,QLD, 51 %- 80 %,Greek,Independent,3.9,2 - 3 month
1385433,Aaron Bingham,12,Year 12 and below,33-39,3 -  5 years,0 ~ 100 AUD,570,Both,NT, 51 %- 80 %,Pidgin,Independent,3.8,Immediately
1573517,Aaron Singh,10,Diploma,33-39,< 1 year,500+ AUD,19,Online,VIC, 51 %- 80 %,Lithuanian,Independent,3.3,1 month
